"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"imagenet-1k","microsoft/rad-dino","[]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(0, 1)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(1, 2)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(2, 3)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(3, 4)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(4, 5)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(5, 6)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(6, 7)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(7, 8)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(8, 9)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(10, 11)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(0, 2)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(1, 3)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(2, 4)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(3, 5)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(4, 6)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(5, 7)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(6, 8)]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","microsoft/rad-dino","[(7, 9)]","[]","[]","{}","identity","identity","identity",""
